"Data Source","World Development Indicators",

"Last Updated Date","2025-06-05",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Population, total","SP.POP.TOTL","54922","55578","56320","57002","57619","58190","58694","58990","59069","59052","58950","58781","58047","58299","58349","58295","58368","58580","58776","59191","59909","60563","61276","62228","62901","61728","59931","59159","59331","60443","62753","65896","69005","73685","77595","79805","83021","86301","88451","89659","90588","91439","92074","93128","95138","97635","99405","100150","100917","101604","101838","102591","104110","105675","106807","107906","108727","108735","108908","109203","108587","107700","107310","107359","",
"Africa Eastern and Southern","AFE","Population, total","SP.POP.TOTL","130072080","133534923","137171659","140945536","144904094","149033472","153281203","157704381","162329396","167088245","171984985","177022314","182126556","187524135","193186642","198914573","204802976","210680842","217074286","223974122","230792729","238043099","245822010","253644643","261458202","269450407","277621771","286067346","294498625","302939121","311748681","320442961","329082707","338324002","347441809","356580375","366138524","375646235","385505757","395750933","406156661","416807868","427820358","439173286","450928044","463076637","475606210","488580707","502070763","516003448","530308387","544737983","559609961","575202699","590968990","607123269","623369401","640058741","657801085","675950189","694446100","713090928","731821393","750503764","",
"Afghanistan","AFG","Population, total","SP.POP.TOTL","9035043","9214083","9404406","9604487","9814318","10036008","10266395","10505959","10756922","11017409","11290128","11567667","11853696","12157999","12469127","12773954","13059851","13340756","13611441","13655567","13169311","11937581","10991378","10917982","11190221","11426852","11420074","11387818","11523298","11874088","12045660","12238879","13278974","14943172","16250794","17065836","17763266","18452091","19159996","19887785","20130327","20284307","21378117","22733049","23560654","24404567","25424094","25909852","26482622","27466101","28284089","29347708","30560034","31622704","32792523","33831764","34700612","35688935","36743039","37856121","39068979","40000412","40578842","41454761","",
"Africa Western and Central","AFW","Population, total","SP.POP.TOTL","97630925","99706674","101854756","104089175","106388440","108772632","111246953","113795019","116444636","119203521","122086536","125072948","128176494","131449942","134911581","138569918","142337272","146258576","150402616","154721711","159166518","163762473","168585118","173255157","177880746","182811038","187889141","193104347","198485027","204062274","209566031","215178709","221191375","227246778","233360104","239801875","246415446","253207584","260297834","267506298","274968446","282780717","290841795","299142845","307725100","316588476","325663158","334984176","344586109","354343844","364358270","374790143","385360349","396030207","406992047","418127845","429454743","440882906","452195915","463365429","474569351","485920997","497387180","509398589","",
"Angola","AGO","Population, total","SP.POP.TOTL","5231654","5301583","5354310","5408320","5464187","5521981","5581386","5641807","5702699","5763685","5852788","5991102","6174262","6388528","6613367","6842947","7074664","7317829","7576734","7847207","8133872","8435607","8751648","9082983","9425917","9779120","10139450","10497858","10861291","11238562","11626360","12023529","12423712","12827135","13249764","13699778","14170973","14660413","15159370","15667235","16194869","16747208","17327699","17943712","18600423","19291161","20015279","20778561","21578655","22414773","23294825","24218352","25177394","26165620","27160769","28157798","29183070","30234839","31297155","32375632","33451132","34532429","35635029","36749906","",
"Albania","ALB","Population, total","SP.POP.TOTL","1608800","1659800","1711319","1762621","1814135","1864791","1914573","1965598","2022272","2081695","2135479","2187853","2243126","2296752","2350124","2404831","2458526","2513546","2566266","2617832","2671997","2726056","2784278","2843960","2904429","2964762","3022635","3083605","3142336","3227943","3286542","3266790","3247039","3227287","3207536","3187784","3168033","3148281","3128530","3108778","3089027","3060173","3051010","3039616","3026939","3011487","2992547","2970017","2947314","2927519","2913021","2905195","2900401","2895092","2889104","2880703","2876101","2873457","2866376","2854191","2837849","2811666","2777689","2745972","",
"Andorra","AND","Population, total","SP.POP.TOTL","9510","10283","11086","11915","12764","13634","14626","15837","17176","18555","19977","21442","22957","24523","26130","27773","29436","31097","32735","34306","35782","37169","38764","40565","42273","43825","45734","47653","49416","50620","52597","56667","60200","63272","64612","63912","63984","64700","65382","65710","65685","65852","66506","69486","74325","77421","79585","81877","83495","83888","80706","77783","76834","75194","73737","72174","72181","73763","75162","76474","77380","78364","79705","80856","",
"Arab World","ARB","Population, total","SP.POP.TOTL","91540853","93931683","96428599","99038509","101729760","104494008","107403055","110491709","113712171","117053219","120469263","123950810","127535560","131335660","135282861","139495837","144014135","148599336","153568663","159054118","164657321","170015485","175370356","180973288","186733957","192563243","198509771","204524595","210269696","215969068","223184294","228402316","234321565","240926205","247626514","253952538","260229121","266565183","273094199","279709634","286548096","293580252","300691509","307815105","315060277","322628451","330526310","338947976","347684619","356386673","363568534","372054934","381030177","390954281","400231008","410190679","419808341","428315886","435998060","444281315","453723239","460646603","471352066","481667539","",
"United Arab Emirates","ARE","Population, total","SP.POP.TOTL","131334","137989","144946","152211","159692","167103","173976","179700","199416","239660","286536","335027","385014","436399","489087","542856","615866","710209","809274","912010","1015700","1099855","1166370","1235305","1305996","1377911","1467383","1574244","1681788","1789851","1898220","2006626","2114730","2222093","2328188","2434662","2597564","2817410","3040421","3266009","3493575","3723590","3956826","4192457","4428967","4664790","5009100","5624635","6302664","6707058","6869838","7104538","7391448","7693031","8059440","8505237","8935095","9223225","9346701","9445785","9401038","9575152","10074977","10483751","",
"Argentina","ARG","Population, total","SP.POP.TOTL","20386045","20726276","21072538","21421705","21769453","22112629","22453893","22799059","23150583","23508711","23878327","24257208","24644328","25046005","25461351","25874107","26282283","26701805","27132158","27568895","28011596","28463959","28924262","29391332","29863093","30336441","30811980","31291762","31780532","32270948","32755901","33230294","33693527","34152717","34613491","35070020","35513793","35947791","36372860","36794682","37213984","37624825","38029349","38424282","38815916","39216789","39622115","40016763","40424148","40854831","41288694","41730660","42161721","42582455","43024071","43477012","43900313","44288894","44654882","44973465","45191965","45312281","45407904","45538401","",
"Armenia","ARM","Population, total","SP.POP.TOTL","1863705","1927484","1991689","2056023","2120135","2183635","2246159","2307492","2367319","2424030","2475633","2525345","2577079","2630860","2686445","2743660","2818165","2912827","3012807","3078501","3107415","3135349","3163144","3191539","3224547","3260432","3294847","3328520","3355125","3443100","3552128","3613977","3571861","3453332","3364610","3307581","3278735","3246289","3208401","3167286","3221100","3211800","3199800","3182500","3164900","3146400","3127100","3107400","3087100","3066000","3044800","3027900","3024100","3022000","3013800","3004600","2992300","2979400","2969000","2962500","2961500","2962300","2969200","2990900","",
"American Samoa","ASM","Population, total","SP.POP.TOTL","20133","20666","21298","21966","22673","23406","24136","24863","25614","26375","27026","27533","27995","28436","28875","29390","29959","30521","31076","31611","32403","33584","34909","36271","37667","39103","40571","42072","43615","45191","46640","47882","49038","50159","51251","52316","53353","54362","55334","56248","56855","57053","57062","56971","56818","56617","56374","56113","55828","55528","55228","54895","54489","54006","53466","52878","52245","51586","50908","50209","49761","49225","48342","47521","",
"Antigua and Barbuda","ATG","Population, total","SP.POP.TOTL","55603","56540","57336","58138","59020","59970","60900","61837","62809","63819","64528","64729","64615","64342","64058","63839","63762","63862","64038","64274","64513","64665","64785","64934","64882","64591","64276","63946","63623","63325","63066","63387","64404","65587","66843","68189","69612","71053","72412","73666","74912","76069","77032","77884","78719","79611","80604","81704","82912","84173","85320","86332","87260","88064","88765","89409","89969","90468","90926","91364","91846","92349","92840","93316","",
"Australia","AUS","Population, total","SP.POP.TOTL","10276477","10483000","10742000","10950000","11167000","11388000","11651000","11799000","12009000","12263000","12507000","12937000","13177000","13380000","13723000","13893000","14033000","14192000","14358000","14514000","14692000","14923260","15184247","15393472","15579391","15788312","16018350","16263874","16532164","16814416","17065128","17284036","17478635","17634808","17805468","18004882","18224767","18423037","18607584","18812264","19028802","19274701","19495210","19720737","19932722","20176844","20450966","20827622","21249199","21691653","22031750","22340024","22733465","23128129","23475686","23815995","24190907","24592588","24963258","25334826","25649248","25685412","26014399","26658948","",
"Austria","AUT","Population, total","SP.POP.TOTL","7047539","7086299","7129864","7175811","7223801","7270889","7322066","7376998","7415403","7441055","7467086","7500482","7544201","7586115","7599038","7578903","7565525","7568430","7562305","7549425","7549433","7568710","7574140","7561910","7561434","7564985","7569794","7574586","7585317","7619567","7677850","7754891","7840709","7905633","7936118","7948278","7959017","7968041","7976789","7992324","8011566","8042293","8081957","8121423","8171966","8227829","8268641","8295487","8321496","8343323","8363404","8391643","8429991","8479823","8546356","8642699","8736668","8797566","8840521","8879920","8916864","8955797","9041851","9131761","",
"Azerbaijan","AZE","Population, total","SP.POP.TOTL","3894500","4045750","4168150","4293550","4439250","4574650","4708150","4832000","4948500","5063300","5172050","5282950","5391450","5493900","5594100","5689050","5781000","5876150","5976150","6071300","6160500","6257750","6357550","6459800","6567850","6670150","6770300","6875350","6974600","7076550","7175200","7271300","7382050","7494800","7596550","7684850","7763000","7838250","7913000","7982750","8048600","8111200","8171950","8234100","8306500","8391850","8484550","8581300","8763400","8947243","9054332","9173082","9295784","9416801","9535079","9649341","9757812","9854033","9939771","10024283","10093121","10137750","10141756","10153958","",
"Burundi","BDI","Population, total","SP.POP.TOTL","2764258","2835119","2907943","2969841","3055650","3141367","3217960","3300690","3380387","3454590","3530432","3617289","3617128","3611991","3703590","3796612","3882626","3983582","4100338","4203530","4383706","4566014","4681390","4808528","4926465","5034042","5129414","5247787","5365327","5471706","5587052","5703857","5858407","5676843","5713854","6066316","6070506","6070042","6187108","6337155","6470194","6634365","6824132","7043154","7310656","7587299","7865547","8161874","8505637","8947646","9376444","9717978","10071028","10439341","10799785","11047580","11239451","11506762","11859446","12255336","12617036","12965481","13321097","13689450","",
"Belgium","BEL","Population, total","SP.POP.TOTL","9153489","9183948","9220578","9289770","9378113","9463667","9527807","9580991","9618756","9646032","9655549","9673162","9711115","9741720","9772419","9800700","9818227","9830358","9839534","9848382","9859242","9858982","9856303","9855520","9855372","9858308","9861823","9870234","9901664","9937697","9967379","10004486","10045158","10084475","10115603","10136811","10156637","10181245","10203008","10226419","10251250","10286570","10332785","10376133","10421137","10478617","10547958","10625700","10709973","10796493","10895586","11038264","11106932","11159407","11209057","11274196","11331422","11375158","11427054","11488980","11538604","11586195","11680210","11787423","",
"Benin","BEN","Population, total","SP.POP.TOTL","2517286","2559223","2604659","2652908","2704003","2757936","2814317","2872997","2934257","2998222","3065057","3134767","3207543","3283496","3362633","3445407","3532196","3623202","3718305","3818528","3925251","4038307","4156596","4278978","4405895","4538012","4675420","4818486","4967341","5121657","5281479","5446932","5617844","5872706","6096506","6226773","6391858","6583365","6789489","7002818","7221619","7445596","7675426","7913070","8159094","8426144","8693242","8953969","9228466","9509423","9797484","10093623","10397657","10708834","11030004","11360681","11697842","12039780","12383347","12726755","13070169","13413417","13759501","14111034","",
